TransactionID,OrderDate,Region,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,CustomerID,CustomerSegment
TRN-00001,2022-10-02,Central,Books,Fiction Novel,8.0,726.5702602801591,5812.56,5000,Enterprise
TRN-00002,2022-05-01,West,Software,Smartphone X,7.0,526.4404799528396,3685.08,3502,SMB
TRN-00003,2022-10-29,East,Electronics,Anti-virus Suite,18.0,135.7752815516879,2443.96,1830,Enterprise
TRN-00004,2022-06-23,North,Apparel,Fiction Novel,9.0,651.8532252228499,5866.68,5752,SMB
TRN-00005,2022-03-21,East,Electronics,Laptop Pro,17.0,415.842842171829,7069.33,5079,Individual
TRN-00006,,Unknown,Software,Anti-virus Suite,8.0,651.4463844096045,5211.57,GUEST,Enterprise
TRN-00007,2022-01-26,North,Electronics,Ergonomic Chair,2.0,974.3600270148232,1948.72,6726,SMB
TRN-00008,2022-10-24,North,Software,Laptop Pro,1.0,895.505074726688,895.51,9335,Unknown
TRN-00009,2023-01-01,Midwest,Home & Garden,Fiction Novel,12.0,314.7141410247809,3776.57,6222,Unknown
TRN-00010,2022-08-28,East,Electronics,Ergonomic Chair,13.0,129.9329667452964,1689.13,3849,SMB
TRN-00011,2022-02-04,South,Books,Laptop Pro,3.0,215.64810755474187,646.94,1512,Unknown
TRN-00012,2022-02-05,Central,Apparel,Anti-virus Suite,1.0,819.6077249452217,819.61,CUST-8400,SMB
TRN-00013,2022-05-08,Midwest,Apparel,Anti-virus Suite,11.0,124.33,1367.63,2687,SMB
TRN-00014,2022-07-26,Unknown,Apparel,Smartphone X,27.5,54.808504653907754,1507.23,6878,Enterprise
TRN-00015,2022-04-13,Unknown,Electronics,Fiction Novel,1.0,98.90481368748988,98.9,1004,SMB
TRN-00016,2022-12-10,North,Home & Garden,Anti-virus Suite,10.0,187.6501284866619,1876.5,GUEST,Enterprise
TRN-00017,,Unknown,Software,Smartphone X,11.5,558.9859498710206,6428.34,9311,SMB
TRN-00018,,Unknown,Software,Fiction Novel,9.0,409.44548034687585,3685.01,8723,SMB
TRN-00019,2022-09-07,West,Home & Garden,Ergonomic Chair,7.0,132.32,926.24,2122,SMB
TRN-00020,2022-04-06,West,Printed Media,Smartphone X,1.0,818.893097704588,818.89,1395,Individual
TRN-00021,2022-07-24,Midwest,Home & Garden,Fiction Novel,17.0,409.44548034687585,6960.57,5869,Enterprise
TRN-00022,2022-04-19,South,Electronics,Laptop Pro,12.0,85.04259998680615,1020.51,GUEST,Individual
TRN-00023,2022-09-28,Central,Electronics,Anti-virus Suite,8.0,522.3860805977662,4179.09,5777,Enterprise
TRN-00024,2022-08-20,East,Electronics,Ergonomic Chair,12.0,773.5386345622817,9282.46,GUEST,Individual
TRN-00025,2022-01-28,West,Software,Fiction Novel,9.0,203.54727838988308,1831.93,CUST-8390,SMB
TRN-00026,2022-09-15,West,Home & Garden,Laptop Pro,13.0,883.5044183315576,11485.56,9787,Enterprise
TRN-00027,2022-10-04,North,Books,Smartphone X,16.0,897.4442274182576,14359.11,GUEST,SMB
TRN-00028,2022-02-06,Unknown,Printed Media,Laptop Pro,4.0,939.8934892998976,3759.57,1559,SMB
TRN-00029,2022-05-23,East,Electronics,Smartphone X,10.0,856.7622399694691,8567.62,9002,Individual
TRN-00030,2022-08-05,Midwest,Printed Media,Ergonomic Chair,1.0,2.66,2.66,GUEST,Unknown
TRN-00031,2022-06-10,South,Printed Media,Ergonomic Chair,13.0,517.8918091279207,6732.59,4766,Unknown
TRN-00032,2022-01-08,East,Software,Anti-virus Suite,5.0,649.5816946973997,3247.91,GUEST,Unknown
TRN-00033,2022-01-30,East,Printed Media,Anti-virus Suite,13.0,578.9611993354326,7526.5,3143,Enterprise
TRN-00034,2022-08-18,South,Electronics,Laptop Pro,3.0,275.3866331219601,826.16,6052,SMB
TRN-00035,2022-07-19,Midwest,Home & Garden,Ergonomic Chair,14.0,919.121170709426,12867.7,8587,SMB
TRN-00036,2022-07-01,Midwest,Apparel,Fiction Novel,13.0,283.22,3681.86,5452,SMB
TRN-00037,2022-04-20,South,Software,Smartphone X,10.0,295.0445463293978,2950.45,8004,Individual
TRN-00038,2022-05-07,East,Apparel,Anti-virus Suite,5.0,301.54,1507.7,5465,SMB
TRN-00039,2022-03-22,West,Apparel,Laptop Pro,12.0,712.1649539455045,8545.98,GUEST,Individual
TRN-00040,2022-06-23,Midwest,Apparel,Fiction Novel,12.0,202.76764884662373,2433.21,GUEST,Enterprise
TRN-00041,2022-08-31,East,Books,Ergonomic Chair,10.0,2.85,28.5,4506,SMB
TRN-00042,2022-01-04,North,Software,Fiction Novel,2.0,409.44548034687585,818.89,GUEST,Individual
TRN-00043,2022-10-05,East,Books,Fiction Novel,11.0,711.2283068412244,7823.51,8357,SMB
TRN-00044,2022-08-13,East,Software,Anti-virus Suite,15.0,1571.4585392903361,23571.88,7966,Enterprise
TRN-00045,2022-10-23,West,Printed Media,Laptop Pro,2.0,553.1680494382061,1106.34,2679,SMB
TRN-00046,2022-04-04,West,Apparel,Anti-virus Suite,5.0,667.1512540948539,3335.76,6387,Enterprise
TRN-00047,2022-08-05,Midwest,Home & Garden,Laptop Pro,2.0,320.59846965859424,641.2,3491,SMB
TRN-00048,2022-12-12,West,Apparel,Smartphone X,3.0,535.7752789178909,1607.33,5360,SMB
TRN-00049,2022-08-05,North,Electronics,Smartphone X,18.0,1571.4585392903361,28286.25,6881,Enterprise
TRN-00050,2022-04-08,East,Apparel,Smartphone X,4.0,858.579837941014,3434.32,2571,Individual
TRN-00051,2022-04-26,North,Software,Ergonomic Chair,19.0,399.39397608329057,7588.49,1635,Individual
TRN-00052,2022-04-09,West,Electronics,Anti-virus Suite,19.0,669.3631965274704,12717.9,7833,Enterprise
TRN-00053,2022-03-03,West,Apparel,Smartphone X,8.0,693.6861437501683,5549.49,GUEST,Unknown
TRN-00054,2022-04-28,East,Electronics,Fiction Novel,15.0,662.9141508889774,9943.71,2081,Individual
TRN-00055,2022-12-04,East,Apparel,Ergonomic Chair,7.0,717.8680109504189,5025.08,1574,Individual
TRN-00056,2022-10-11,West,Books,Smartphone X,4.0,843.5373708097761,3374.15,6177,Unknown
TRN-00057,2022-01-30,Midwest,Software,Laptop Pro,12.0,717.3598797877538,8608.32,5492,SMB
