TransactionID,OrderDate,Region,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,CustomerID,CustomerSegment
trn_0014,2022-10-02,Central,Books,Novel - Fiction,8,726.5702602801591,5812.56,5000,Enterprise
TRN-0089,2022-05-01,Western,Software,Smartphone X,7,526.4404799528396,3685.08,3502,SME
TRN-0065,2022-10-29,East,electronics,AV Suite,18,135.7752815516879,2443.96,1830,Large Business
TRN-0007,2022-06-23,NORTH,Apparel,Novel - Fiction,9,651.8532252228499,5866.68,5752,SME
TRN-0107,2022-03-21,East,Electronics,Laptop Pro,17,415.842842171829,7069.33,5079,Consumer
TRN-0029,,Missing,SW,AV Suite,,651.4463844096045,,,Large Business
TRN-0029,2022-01-26,NORTH,Electronics,Desk Chair Ergo,2,974.3600270148233,1948.72,6726,SMB
TRN-0027,10/24/2022,Northern,SW,Laptop Pro v2.0,1,895.505074726688,895.51,9335,UNKNOWN
trn_0027,2023-01-01,Midwest,Home & Garden,Fiction Novel,12,314.7141410247809,3776.57,6222,missing
trn_0029,2022-08-28,E. Region,Elec.,Ergonomic Chair,13,129.9329667452964,1858.04,3849,SMB
TRN-0100,02/04/2022,SOUTHERN,Books,LaptopPro,3,215.64810755474187,646.94,1512,UNKNOWN
trn_0018,2022-02-05,Central,Apparel,Anti-virus Suite,1,819.6077249452217,819.61,CUST-8400,SME
TRN-0060,2022-05-08,Midwest,Apparel,AV Suite,11,124.33,1367.63,2687,SMB
TRN-0034,26-07-2022,Missing,Apparel,Smart Phone X,83,54.808504653907754,4549.11,6878,Corp
trn_0022,13-04-2022,Missing,Elec.,Novel - Fiction,1,98.90481368748988,98.9,1004,Small Business
TRN-0074,2022-12-10,N. Region,Home & Garden,Anti-virus Suite,10,187.65012848666194,1876.5,N/A,Corp
TRN-0033,,Missing,SW,Smartphone X,,558.9859498710206,,9311,Small Business
TRN-0008,,Missing,Software,Fiction Novel,,,,8723,SME
TRN-0047,2022-09-07,Western,Home Goods,Desk Chair Ergo,7,132.32,926.24,2122,Small Business
TRN-0032,2022-04-06,Western,Printed Media,Smartphone X,1,818.893097704588,818.89,1395,Individual
TRN-0006,2022-07-24,Midwest,Home Goods,Fiction Novel,17,,,5869,Enterprise
TRN-0063,2022-04-19,S. Region,Elec.,Laptop-Pro,12,85.04259998680615,1020.51,,Individual
TRN-0014,2022-09-28,Central,Elec.,AV Suite,8,522.3860805977662,4179.09,5777,Corp
TRN-0114,2022-08-20,East,Elec.,Desk Chair Ergo,12,773.5386345622817,9282.46,,Consumer
TRN-0055,2022-01-28,West,Software,Novel - Fiction,9,203.54727838988308,1831.93,CUST-8390,SME
TRN-0018,2022-09-15,West,Home & Garden,LaptopPro,13,883.5044183315576,11485.56,9787,Large Business
trn_0023,04-10-2022,N. Region,Books,Smartphone X,16,897.4442274182576,14359.11,N/A,SMB
TRN-0017,06-02-2022,Missing,Printed Media,Laptop Pro v2.0,4,939.8934892998977,3759.57,1559,SMB
TRN-0052,2022-05-23,E. Region,electronics,Smartphone X,10,856.7622399694691,8567.62,9002,Individual
TRN-0009,08/05/2022,Midwest,Printed Media,Ergonomic Chair,1,2.66,2.66,,UNKNOWN
TRN-0110,06/10/2022,S. Region,Printed Media,Ergonomic Chair,13,,,4766,UNKNOWN
TRN-0106,2022-01-08,East,SW,AV Suite,5,649.5816946973997,3247.91,,missing
TRN-0049,2022-01-30,East,Printed Media,Anti-virus Suite,13,578.9611993354326,7526.5,3143,Corp
TRN-0073,2022-08-18,S. Region,Elec.,Laptop Pro,3,275.3866331219601,826.16,6052,SME
TRN-0063,2022-07-19,Midwest,Home & Garden,Ergonomic Chair,14,919.1211707094261,12867.7,8587,Small Business
TRN-0129,01-07-2022,Midwest,Apparel,Fiction Novel,13,283.22,3681.86,5452,Small Business
TRN-0096,2022-04-20,SOUTHERN,Software,Smartphone X,10,295.0445463293978,3245.49,8004,Individual
TRN-0101,2022-05-07,East,Apparel,AV Suite,5,301.54,1507.7,5465,Small Business
TRN-0093,03/22/2022,West,Apparel,LaptopPro,12,712.1649539455045,8545.98,N/A,Consumer
TRN-0019,2022-06-23,Midwest,Apparel,Fiction Novel,12,202.76764884662373,2433.21,N/A,Enterprise
TRN-0011,08/31/2022,East,Books,Ergonomic Chair,10,2.85,28.5,4506,SME
TRN-0054,2022-01-04,NORTH,SW,Fiction Novel,2,,,,Consumer
TRN-0111,2022-10-05,East,Books,Novel - Fiction,11,711.2283068412244,7823.51,8357,Small Business
TRN-0020,2022-08-13,E. Region,SW,AV Suite,15,2327.16,31416.66,7966,Large Business
TRN-0079,23-10-2022,Western,Printed Media,Laptop Pro,2,553.1680494382061,995.71,2679,SME
trn_0026,04-04-2022,West,Apparel,AV Suite,5,667.1512540948539,3669.34,6387,Corp
TRN-0016,2022-08-05,Midwest,Home Goods,LaptopPro,2,320.59846965859424,577.08,3491,Small Business
TRN-0068,2022-12-12,West,Clothing,Smart Phone X,3,535.7752789178909,1607.33,5360,SMB
TRN-0103,2022-08-05,North,Elec.,Smart Phone X,18,4892.08,79251.7,6881,Large Business
TRN-0082,04/08/2022,E. Region,Clothing,Smartphone X,4,858.579837941014,3777.75,2571,Consumer
TRN-0037,2022-04-26,Northern,Software,Desk Chair Ergo,19,399.39397608329057,7588.49,1635,Consumer
TRN-0064,2022-04-09,Western,Elec.,AV Suite,19,669.3631965274704,12717.9,7833,Corp
TRN-0025,2022-03-03,West,Clothing,Smart Phone X,8,,,,missing
TRN-0113,2022-04-28,East,electronics,Fiction Novel,15,662.9141508889774,9943.71,2081,Consumer
TRN-0085,2022-12-04,E. Region,Clothing,Desk Chair Ergo,7,717.8680109504189,5025.08,1574,Consumer
TRN-0009,2022-10-11,Western,Books,Smart Phone X,4,843.5373708097761,3374.15,6177,missing
TRN-0076,2022-01-30,Midwest,SW,Laptop-Pro,12,717.3598797877538,8608.32,5492,SME
TRN-0092,2022-07-26,West,Books,Ergonomic Chair,6,353.23,1907.44,1717,Large Business
TRN-0056,2022-07-30,Midwest,Home & Garden,Desk Chair Ergo,15,659.9300638465734,9898.95,7665,Corp
trn_0027,2023-01-01,Midwest,Home & Garden,Fiction Novel,12,314.7141410247809,3776.57,6222,missing
TRN-0013,2022-10-24,E. Region,SW,Fiction Novel,15,939.3470354527419,14090.21,7806,SME
TRN-0027,,N. Region,Electronics,Laptop-Pro,3,335.83439432593116,1007.5,4854,Small Business
trn_0028,2022-08-05,Midwest,Software,LaptopPro,15,456.7749409014486,6851.62,6988,Enterprise
TRN-0024,2022-05-07,West,Books,Laptop-Pro,5,806.003035964296,4030.02,6486,Consumer
